,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,ABBE,,ABBE,,DISPERSIONS,,,PARTIAL DISPERSIONS,,,,,,PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,Deviation of Relative Partial Dispesions,,,,,CONSTANTS  OF DISPERSION FORMULA (Sellmeier),,,,,,CONSTANTS  OF DISPERSION FORMULA (Cauchy),,,,,,COLORING,,,INTERNAL  TRANSMISSION COLORING,,CCI,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,Constants of dn/dT,,,,,,Thermal Properties,,,,,CTEα(10-7/℃),,Conductivity,Mechanical  Properties,,,,,,,Chemical  Properties,,,,,,Bubble Grp,Spec. Gravity
,Glass ,Code(d),Code(e),n2325,n1970,n1530,n1129,nt,ns,nA',nr,nC,nC',nHe-Ne,nD,nd,ne,nF,nF',nHe-Cd,ng,nh,ni,νd,νe,νd,νe,nF-nC,nF-nC,nF'-nC',nC-nt,nC-nA',nd-nC,ne-nC,ng-nd,ng-nF,nh-ng,ni-ng,nC'-nt,ne-nC',nF'-ne,ni-nF',"θC,t","θC,A'","θd,C","θe,C","θg,d","θg,F","θh,g","θi,g","θ'C',t","θ'e,C'","θ'F',e","θ'i,F'","ΔθC,t","ΔθC,A'","Δθg,d","Δθg,F","Δθi,g",A1,A2,A3,B1,B2,B3,A0,A1,A2,A3,A4,A5,λ80,(λ70),λ5,λ0.80,λ0.05,B,G,R,280,290,300,310,320,330,340,350,360,370,380,390,400,420,440,460,480,500,550,600,650,700,800,900,1000,1200,1400,1600,1800,2000,2200,2400,t(-40~-20),t(-20~0),t(0~20),t(20~40),t(40~60),t(60~80),C'(-40~-20),C'(-20~0),C'(0~20),C'(20~40),C'(40~60),C'(60~80),He-Ne(-40~-20),He-Ne(20~0),He-Ne(0~20),He-Ne(20~40),He-Ne(40~60),He-Ne(60~80),D(-40~-20),D(-20~0),D(0~20),D(20~40),D(40~60),D(60~80),e(-40~-20),e(-20~0),e(0~20),e(20~40),e(40~60),e(60~80),F'(-40~-20),F'(-20~0),F'(0~20),F'(20~40),F'(40~60),F'(60~80),g(-40~-20),g(-20~0),g(0~20),g(20~40),g(40~60),g(60~80), D0, D1, D2, E0, E1,λTK,StP（℃）,AP（℃）,Tg（℃）,At（℃）,SP（℃）,(-30~+70),(100~300),k(W/(m･K)),Young's (E) ,Rigidity (G),Poisson's(σ),Knoop (Hk),Group,Abrasion(Aa),β,RW(P),RA(P),W(S)max,W(S)min,SR,PR,B,d
32,S-BAH27,702412,706410,1.662531 ,1.668584 ,1.675260 ,1.681603 ,1.683862 ,1.687999 ,1.690942 ,1.693702 ,1.696503 ,1.697295 ,1.698038 ,1.701387 ,1.701536 ,1.705571 ,1.713515 ,1.714523 ,1.721999 ,1.723323 ,1.731803 ,1.747120 ,41.2 ,41.0 ,41.24 ,40.95 ,0.01701 ,0.017012 ,0.017228 ,0.012641 ,0.005561 ,0.005033 ,0.009068 ,0.021787 ,0.009808 ,0.008480 ,0.023797 ,0.013433 ,0.008276 ,0.008952 ,0.032597 ,0.7431 ,0.3269 ,0.2958 ,0.5330 ,1.2807 ,0.5765 ,0.4985 ,1.3988 ,0.7797 ,0.4804 ,0.5196 ,1.8921 ,0.0029 ,0.0011 ,0.0016 ,0.0018 ,0.0191 ,1.68939052E+00,1.33081013E-01,1.41165515E+00,1.03598193E-02,5.33982239E-02,1.26515503E+02,,,,,,,400 ,,350 ,388 ,356 ,0.00 ,1.99 ,2.01 ,,,,,,,,,0.160 ,0.470 ,0.700 ,0.830 ,0.890 ,0.955 ,0.971 ,0.979 ,0.985 ,0.989 ,0.995 ,0.994 ,0.994 ,0.996 ,0.998 ,0.998 ,0.998 ,0.998 ,0.993 ,0.994 ,0.987 ,0.974 ,0.921 ,0.810 ,3.2 ,3.3 ,3.4 ,3.5 ,3.5 ,3.7 ,3.7 ,3.8 ,4.0 ,4.1 ,4.2 ,4.4 ,3.7 ,3.9 ,4.0 ,4.1 ,4.3 ,4.4 ,4.0 ,4.1 ,4.2 ,4.4 ,4.5 ,4.6 ,4.2 ,4.4 ,4.5 ,4.7 ,4.8 ,5.0 ,4.8 ,5.0 ,5.2 ,5.4 ,5.6 ,5.8 ,5.5 ,5.7 ,5.9 ,6.2 ,6.4 ,6.6 ,2.96E-06,1.33E-08,-3.48E-11,5.66E-07,7.35E-10,2.78E-01,611 ,636 ,647 ,682 ,749 ,64 ,75 ,0.869 ,936 ,368 ,0.272 ,580 ,6 ,129 ,2.18 ,1 ,3 ,2 ,,4.0 ,1.0 ,,3.67 
33,S-BAH28,723380,728377,1.681981 ,1.688085 ,1.694901 ,1.701542 ,1.703959 ,1.708444 ,1.711670 ,1.714713 ,1.717816 ,1.718695 ,1.719522 ,1.723254 ,1.723420 ,1.727935 ,1.736876 ,1.738015 ,1.746493 ,1.748000 ,1.757689 ,,38.0 ,37.7 ,37.95 ,37.68 ,0.01906 ,0.019060 ,0.019320 ,0.013857 ,0.006146 ,0.005604 ,0.010119 ,0.024580 ,0.011124 ,0.009689 ,,0.014736 ,0.009240 ,0.010080 ,,0.7270 ,0.3225 ,0.2940 ,0.5309 ,1.2896 ,0.5836 ,0.5083 ,,0.7627 ,0.4783 ,0.5217 ,,0.0023 ,0.0006 ,0.0037 ,0.0035 ,,1.69493484E+00,1.92890298E-01,1.56385948E+00,1.02723190E-02,5.21187640E-02,1.37818035E+02,,,,,,,415 ,,355 ,395 ,360 ,0.00 ,2.78 ,2.88 ,,,,,,,,,0.060 ,0.320 ,0.580 ,0.750 ,0.850 ,0.934 ,0.963 ,0.975 ,0.982 ,0.987 ,0.994 ,0.995 ,0.995 ,0.996 ,0.998 ,0.998 ,0.998 ,0.998 ,0.994 ,0.995 ,0.990 ,0.979 ,0.938 ,0.840 ,3.8 ,3.9 ,4.0 ,4.1 ,4.2 ,4.3 ,4.5 ,4.6 ,4.8 ,4.9 ,5.1 ,5.2 ,4.5 ,4.7 ,4.8 ,5.0 ,5.1 ,5.3 ,4.8 ,4.9 ,5.1 ,5.2 ,5.4 ,5.6 ,5.1 ,5.3 ,5.4 ,5.6 ,5.8 ,6.0 ,5.8 ,6.0 ,6.2 ,6.5 ,6.7 ,6.9 ,6.6 ,6.9 ,7.1 ,7.4 ,7.7 ,7.9 ,3.80E-06,1.33E-08,-3.17E-11,7.28E-07,9.35E-10,2.61E-01,599 ,626 ,643 ,676 ,739 ,66 ,73 ,0.889 ,911 ,375 ,0.213 ,600 ,6 ,138 ,2.31 ,1 ,2 ,1 ,2 ,4.0 ,1.0 ,,3.67 
34,S-PHM52,618634,620630,1.591081 ,1.595874 ,1.601028 ,1.605612 ,1.607143 ,1.609826 ,1.611666 ,1.613353 ,1.615036 ,1.615507 ,1.615948 ,1.617913 ,1.618000 ,1.620327 ,1.624794 ,1.625351 ,1.629400 ,1.630103 ,1.634506 ,1.641994 ,63.4 ,63.0 ,63.33 ,63.02 ,0.00975 ,0.009758 ,0.009844 ,0.007893 ,0.003370 ,0.002964 ,0.005291 ,0.012103 ,0.005309 ,0.004403 ,0.011891 ,0.008364 ,0.004820 ,0.005024 ,0.016643 ,0.8089 ,0.3454 ,0.3038 ,0.5422 ,1.2403 ,0.5441 ,0.4512 ,1.2186 ,0.8497 ,0.4896 ,0.5104 ,1.6907 ,-0.0349 ,-0.0072 ,0.0071 ,0.0051 ,0.0239 ,1.09966550E+00,4.78125422E-01,1.13214074E+00,1.32718559E-02,-6.01649685E-04,1.30595472E+02,,,,,,,370 ,,325 ,366 ,330 ,0.00 ,0.55 ,0.57 ,,,,,,0.050 ,0.250 ,0.510 ,0.720 ,0.850 ,0.923 ,0.957 ,0.974 ,0.986 ,0.990 ,0.992 ,0.994 ,0.996 ,0.998 ,0.998 ,0.998 ,0.998 ,0.997 ,0.996 ,0.996 ,0.996 ,0.996 ,0.991 ,0.979 ,0.961 ,0.926 ,0.890 ,-3.7 ,-3.8 ,-4.0 ,-4.1 ,-4.2 ,-4.2 ,-3.6 ,-3.7 ,-3.7 ,-3.7 ,-3.8 ,-3.8 ,-3.6 ,-3.7 ,-3.7 ,-3.7 ,-3.8 ,-3.8 ,-3.6 ,-3.6 ,-3.6 ,-3.6 ,-3.6 ,-3.7 ,-3.4 ,-3.5 ,-3.5 ,-3.5 ,-3.5 ,-3.6 ,-3.2 ,-3.2 ,-3.2 ,-3.2 ,-3.2 ,-3.3 ,-3.0 ,-3.0 ,-3.0 ,-3.0 ,-3.0 ,-3.0 ,-1.15E-05,5.40E-09,-3.69E-11,4.44E-07,9.12E-10,1.66E-01,,,587 ,617 ,,101 ,120 ,0.599 ,715 ,277 ,0.292 ,390 ,4 ,434 ,1.00 ,1 ,4 ,2 ,,5.0 ,4.0 ,,3.67 
35,S-PHM53,603655,605651,1.575829 ,1.580921 ,1.586338 ,1.591032 ,1.592559 ,1.595189 ,1.596966 ,1.598584 ,1.600189 ,1.600637 ,1.601056 ,1.602919 ,1.603001 ,1.605200 ,1.609404 ,1.609926 ,1.613722 ,1.614381 ,1.618495 ,1.625471 ,65.5 ,65.1 ,65.44 ,65.15 ,0.00921 ,0.009215 ,0.009289 ,0.007630 ,0.003223 ,0.002812 ,0.005011 ,0.011380 ,0.004977 ,0.004114 ,0.011090 ,0.008078 ,0.004563 ,0.004726 ,0.015545 ,0.8280 ,0.3498 ,0.3052 ,0.5438 ,1.2349 ,0.5401 ,0.4464 ,1.2035 ,0.8696 ,0.4912 ,0.5088 ,1.6735 ,-0.0257 ,-0.0054 ,0.0061 ,0.0045 ,0.0265 ,1.09775423E+00,4.34816432E-01,1.13894976E+00,1.23369400E-02,-3.72522903E-04,1.24276984E+02,,,,,,,360 ,,300 ,362 ,313 ,0.00 ,0.56 ,0.52 ,,,,0.030 ,0.100 ,0.250 ,0.450 ,0.640 ,0.780 ,0.880 ,0.935 ,0.963 ,0.977 ,0.986 ,0.987 ,0.989 ,0.992 ,0.994 ,0.998 ,0.997 ,0.996 ,0.996 ,0.997 ,0.997 ,0.996 ,0.997 ,0.993 ,0.987 ,0.967 ,0.941 ,0.870 ,0.830 ,-3.1 ,-3.0 ,-3.0 ,-2.9 ,-2.9 ,-2.7 ,-2.8 ,-2.8 ,-2.7 ,-2.6 ,-2.5 ,-2.3 ,-2.8 ,-2.8 ,-2.7 ,-2.6 ,-2.5 ,-2.3 ,-2.7 ,-2.7 ,-2.6 ,-2.5 ,-2.4 ,-2.2 ,-2.6 ,-2.6 ,-2.5 ,-2.4 ,-2.2 ,-2.0 ,-2.4 ,-2.4 ,-2.3 ,-2.1 ,-1.9 ,-1.7 ,-2.2 ,-2.1 ,-2.0 ,-1.9 ,-1.7 ,-1.5 ,-9.57E-06,1.38E-08,-6.40E-12,4.80E-07,8.06E-10,1.31E-01,,,610 ,644 ,681 ,93 ,109 ,0.615 ,708 ,275 ,0.285 ,390 ,4 ,378 ,1.21 ,1 ,5 ,1 ,2 ,51.0 ,4.0 ,,3.51 
36,S-TIL 1,548458,551455,1.517972 ,1.523073 ,1.528609 ,1.533648 ,1.535370 ,1.538442 ,1.540584 ,1.542570 ,1.544572 ,1.545135 ,1.545664 ,1.548036 ,1.548141 ,1.550984 ,1.556544 ,1.557247 ,1.562436 ,1.563351 ,1.569184 ,1.579587 ,45.8 ,45.5 ,45.79 ,45.49 ,0.01197 ,0.011972 ,0.012112 ,0.009202 ,0.003988 ,0.003569 ,0.006412 ,0.015210 ,0.006807 ,0.005833 ,0.016236 ,0.009765 ,0.005849 ,0.006263 ,0.022340 ,0.7686 ,0.3331 ,0.2981 ,0.5356 ,1.2705 ,0.5686 ,0.4872 ,1.3562 ,0.8062 ,0.4829 ,0.5171 ,1.8445 ,0.0071 ,0.0017 ,0.0009 ,0.0012 ,0.0146 ,1.25088944E+00,9.97973327E-02,1.20583504E+00,8.83921279E-03,4.82685052E-02,1.37414953E+02,,,,,,,370 ,,340 ,366 ,341 ,0.00 ,0.32 ,0.33 ,,,,,,,0.010 ,0.290 ,0.690 ,0.870 ,0.944 ,0.972 ,0.984 ,0.992 ,0.994 ,0.995 ,0.996 ,0.997 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.997 ,0.997 ,0.996 ,0.993 ,0.977 ,0.948 ,0.890 ,0.850 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.5 ,1.5 ,1.5 ,1.6 ,1.6 ,1.6 ,1.5 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.7 ,1.7 ,1.7 ,1.8 ,1.8 ,1.8 ,1.9 ,1.9 ,2.0 ,2.0 ,2.0 ,2.1 ,2.3 ,2.4 ,2.4 ,2.5 ,2.6 ,2.6 ,2.8 ,2.9 ,3.0 ,3.1 ,3.1 ,3.2 ,-1.21E-06,1.02E-08,-4.37E-11,5.67E-07,5.97E-10,2.65E-01,452 ,487 ,501 ,542 ,654 ,86 ,101 ,1.039 ,705 ,288 ,0.222 ,490 ,5 ,128 ,2.68 ,3 ,1 ,1 ,,1.0 ,1.0 ,B,2.54 
37,S-TIL 2,541472,543469,1.511176 ,1.516261 ,1.521761 ,1.526724 ,1.528406 ,1.531389 ,1.533458 ,1.535372 ,1.537297 ,1.537838 ,1.538345 ,1.540619 ,1.540720 ,1.543440 ,1.548746 ,1.549415 ,1.554348 ,1.555216 ,1.560737 ,1.570524 ,47.2 ,46.9 ,47.23 ,46.94 ,0.01145 ,0.011449 ,0.011577 ,0.008891 ,0.003839 ,0.003423 ,0.006143 ,0.014496 ,0.006470 ,0.005521 ,0.015308 ,0.009432 ,0.005602 ,0.005975 ,0.021109 ,0.7766 ,0.3353 ,0.2990 ,0.5366 ,1.2661 ,0.5651 ,0.4822 ,1.3371 ,0.8147 ,0.4839 ,0.5161 ,1.8234 ,0.0083 ,0.0022 ,-0.0005 ,0.0000 ,0.0076 ,1.23401499E+00,9.59796833E-02,1.20503991E+00,8.69507801E-03,4.65611429E-02,1.37953301E+02,,,,,,,370 ,,340 ,368 ,340 ,0.00 ,0.40 ,0.38 ,,,,,,,0.040 ,0.320 ,0.660 ,0.840 ,0.925 ,0.962 ,0.979 ,0.990 ,0.994 ,0.995 ,0.996 ,0.997 ,0.998 ,0.998 ,0.997 ,0.998 ,0.999 ,0.998 ,0.997 ,0.997 ,0.997 ,0.995 ,0.987 ,0.970 ,0.942 ,0.917 ,1.3 ,1.3 ,1.4 ,1.5 ,1.5 ,1.5 ,1.7 ,1.7 ,1.8 ,1.9 ,1.9 ,2.0 ,1.7 ,1.8 ,1.8 ,1.9 ,1.9 ,2.0 ,1.9 ,1.9 ,2.0 ,2.1 ,2.1 ,2.2 ,2.0 ,2.1 ,2.2 ,2.3 ,2.3 ,2.4 ,2.5 ,2.6 ,2.6 ,2.7 ,2.8 ,2.9 ,2.9 ,3.0 ,3.1 ,3.3 ,3.4 ,3.5 ,-4.00E-07,1.28E-08,-4.06E-11,5.09E-07,5.15E-10,2.72E-01,448 ,484 ,496 ,538 ,658 ,82 ,98 ,1.051 ,699 ,286 ,0.220 ,500 ,5 ,121 ,2.74 ,2 ,1 ,2 ,,1.0 ,1.0 ,B,2.52 
38,S-TIL 6,532489,534485,1.502923 ,1.507971 ,1.513421 ,1.518293 ,1.519927 ,1.522804 ,1.524789 ,1.526620 ,1.528456 ,1.528972 ,1.529455 ,1.531621 ,1.531717 ,1.534304 ,1.539343 ,1.539978 ,1.544651 ,1.545473 ,1.550689 ,1.559891 ,48.9 ,48.5 ,48.84 ,48.55 ,0.01088 ,0.010887 ,0.011006 ,0.008529 ,0.003667 ,0.003261 ,0.005848 ,0.013756 ,0.006130 ,0.005216 ,0.014418 ,0.009045 ,0.005332 ,0.005674 ,0.019913 ,0.7834 ,0.3368 ,0.2995 ,0.5372 ,1.2635 ,0.5631 ,0.4791 ,1.3243 ,0.8218 ,0.4845 ,0.5155 ,1.8093 ,0.0076 ,0.0017 ,0.0002 ,0.0007 ,0.0082 ,1.17701777E+00,1.27958030E-01,1.34740124E+00,7.71087686E-03,4.11325328E-02,1.54531692E+02,,,,,,,365 ,,335 ,364 ,339 ,0.00 ,0.28 ,0.24 ,,,,,,,0.070 ,0.440 ,0.740 ,0.880 ,0.948 ,0.973 ,0.985 ,0.990 ,0.989 ,0.990 ,0.991 ,0.993 ,0.994 ,0.994 ,0.992 ,0.996 ,0.998 ,0.997 ,0.997 ,0.996 ,0.995 ,0.993 ,0.977 ,0.947 ,0.890 ,0.850 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.5 ,2.6 ,2.6 ,2.7 ,2.7 ,2.7 ,3.0 ,3.0 ,3.1 ,3.1 ,3.2 ,3.3 ,-4.53E-07,1.01E-08,-3.81E-11,4.89E-07,4.59E-10,2.77E-01,438 ,468 ,479 ,528 ,648 ,82 ,96 ,1.059 ,648 ,283 ,0.146 ,490 ,5 ,114 ,2.81 ,3 ,1 ,2 ,3 ,1.0 ,1.0 ,B,2.50 
39,S-TIL25,581407,585405,1.547413 ,1.552919 ,1.558952 ,1.564559 ,1.566513 ,1.570047 ,1.572537 ,1.574862 ,1.577216 ,1.577881 ,1.578505 ,1.581314 ,1.581439 ,1.584822 ,1.591486 ,1.592332 ,1.598613 ,1.599726 ,1.606866 ,1.619792 ,40.7 ,40.5 ,40.75 ,40.47 ,0.01427 ,0.014270 ,0.014451 ,0.010703 ,0.004679 ,0.004223 ,0.007606 ,0.018287 ,0.008240 ,0.007140 ,0.020066 ,0.011368 ,0.006941 ,0.007510 ,0.027460 ,0.7500 ,0.3279 ,0.2959 ,0.5330 ,1.2815 ,0.5774 ,0.5004 ,1.4062 ,0.7867 ,0.4803 ,0.5197 ,1.9002 ,0.0121 ,0.0027 ,0.0014 ,0.0019 ,0.0224 ,1.32122534E+00,1.23824976E-01,1.43685254E+00,9.52091436E-03,5.16062665E-02,1.49064883E+02,,,,,,,380 ,,350 ,378 ,351 ,0.00 ,0.73 ,0.73 ,,,,,,,,0.010 ,0.280 ,0.650 ,0.850 ,0.929 ,0.964 ,0.986 ,0.991 ,0.993 ,0.994 ,0.995 ,0.998 ,0.998 ,0.997 ,0.998 ,0.999 ,0.999 ,0.998 ,0.998 ,0.994 ,0.994 ,0.981 ,0.963 ,0.911 ,0.890 ,2.4 ,2.5 ,2.6 ,2.7 ,2.7 ,2.8 ,3.0 ,3.0 ,3.1 ,3.2 ,3.3 ,3.4 ,3.0 ,3.1 ,3.2 ,3.3 ,3.3 ,3.4 ,3.2 ,3.3 ,3.4 ,3.5 ,3.5 ,3.6 ,3.4 ,3.5 ,3.6 ,3.7 ,3.8 ,3.9 ,4.0 ,4.1 ,4.2 ,4.4 ,4.5 ,4.6 ,4.6 ,4.7 ,4.9 ,5.1 ,5.2 ,5.4 ,2.03E-06,1.32E-08,-4.09E-11,6.01E-07,5.93E-10,2.78E-01,536 ,564 ,588 ,630 ,715 ,74 ,88 ,1.054 ,753 ,309 ,0.220 ,540 ,5 ,117 ,2.84 ,1 ,1 ,1 ,2 ,1.0 ,1.0 ,B,2.59 
40,S-TIL26,567428,570425,1.534928 ,1.540278 ,1.546109 ,1.551475 ,1.553331 ,1.556667 ,1.559007 ,1.561186 ,1.563386 ,1.564007 ,1.564589 ,1.567206 ,1.567322 ,1.570466 ,1.576636 ,1.577418 ,1.583205 ,1.584229 ,1.590775 ,1.602558 ,42.8 ,42.5 ,42.82 ,42.54 ,0.01325 ,0.013250 ,0.013411 ,0.010055 ,0.004379 ,0.003936 ,0.007080 ,0.016907 ,0.007593 ,0.006546 ,0.018329 ,0.010676 ,0.006459 ,0.006952 ,0.025140 ,0.7589 ,0.3305 ,0.2971 ,0.5343 ,1.2760 ,0.5731 ,0.4940 ,1.3833 ,0.7961 ,0.4816 ,0.5184 ,1.8746 ,0.0113 ,0.0027 ,0.0002 ,0.0009 ,0.0168 ,1.31066488E+00,9.41903094E-02,1.23292644E+00,9.68897812E-03,5.27763106E-02,1.33296422E+02,,,,,,,380 ,,345 ,374 ,349 ,0.00 ,0.56 ,0.54 ,,,,,,,,0.070 ,0.440 ,0.740 ,0.880 ,0.945 ,0.971 ,0.989 ,0.993 ,0.995 ,0.995 ,0.997 ,0.998 ,0.998 ,0.997 ,0.998 ,0.999 ,0.998 ,0.998 ,0.998 ,0.995 ,0.993 ,0.977 ,0.950 ,0.890 ,0.860 ,2.0 ,2.0 ,2.0 ,2.0 ,2.1 ,2.2 ,2.4 ,2.5 ,2.6 ,2.6 ,2.7 ,2.8 ,2.4 ,2.5 ,2.6 ,2.7 ,2.7 ,2.8 ,2.6 ,2.7 ,2.8 ,2.8 ,2.9 ,3.0 ,2.8 ,2.9 ,3.0 ,3.1 ,3.2 ,3.3 ,3.3 ,3.4 ,3.5 ,3.6 ,3.7 ,3.8 ,3.9 ,4.0 ,4.2 ,4.3 ,4.4 ,4.6 ,8.85E-07,1.27E-08,-3.61E-11,5.87E-07,6.12E-10,2.70E-01,495 ,533 ,552 ,599 ,694 ,79 ,90 ,1.054 ,739 ,302 ,0.222 ,500 ,5 ,123 ,2.75 ,1 ,1 ,1 ,,1.0 ,1.0 ,B,2.57 
41,S-TIL27,575415,578412,1.541618 ,1.547072 ,1.553037 ,1.558554 ,1.560469 ,1.563921 ,1.566349 ,1.568613 ,1.570902 ,1.571549 ,1.572155 ,1.574885 ,1.575006 ,1.578291 ,1.584756 ,1.585577 ,1.591666 ,1.592745 ,1.599663 ,1.612185 ,41.5 ,41.2 ,41.50 ,41.22 ,0.01386 ,0.013854 ,0.014028 ,0.010433 ,0.004553 ,0.004104 ,0.007389 ,0.017739 ,0.007989 ,0.006918 ,0.019440 ,0.011080 ,0.006742 ,0.007286 ,0.026608 ,0.7531 ,0.3286 ,0.2962 ,0.5333 ,1.2804 ,0.5767 ,0.4994 ,1.4032 ,0.7898 ,0.4806 ,0.5194 ,1.8968 ,0.0117 ,0.0024 ,0.0019 ,0.0024 ,0.0257 ,1.31433154E+00,1.12300168E-01,1.41390100E+00,9.50404477E-03,5.24112772E-02,1.48429972E+02,,,,,,,380 ,,350 ,371 ,350 ,0.00 ,0.45 ,0.47 ,,,,,,,,0.050 ,0.440 ,0.780 ,0.913 ,0.961 ,0.979 ,0.990 ,0.993 ,0.994 ,0.995 ,0.996 ,0.998 ,0.998 ,0.998 ,0.998 ,0.999 ,0.999 ,0.998 ,0.998 ,0.994 ,0.993 ,0.978 ,0.955 ,0.890 ,0.870 ,2.4 ,2.4 ,2.5 ,2.5 ,2.5 ,2.5 ,2.9 ,2.9 ,3.0 ,3.0 ,3.0 ,3.1 ,3.0 ,3.0 ,3.0 ,3.1 ,3.1 ,3.1 ,3.1 ,3.2 ,3.2 ,3.3 ,3.3 ,3.3 ,3.3 ,3.4 ,3.5 ,3.5 ,3.6 ,3.6 ,3.9 ,4.0 ,4.0 ,4.1 ,4.2 ,4.3 ,4.5 ,4.6 ,4.7 ,4.8 ,4.9 ,5.0 ,1.72E-06,1.09E-08,-4.25E-11,5.94E-07,5.57E-10,2.76E-01,511 ,547 ,562 ,599 ,700 ,74 ,89 ,1.070 ,749 ,308 ,0.217 ,540 ,5 ,120 ,2.81 ,1 ,1 ,2 ,,1.0 ,1.0 ,B,2.58 
42,S-TIM 2,620363,624360,1.582398 ,1.588056 ,1.594349 ,1.600413 ,1.602598 ,1.606633 ,1.609524 ,1.612248 ,1.615024 ,1.615811 ,1.616551 ,1.619892 ,1.620041 ,1.624088 ,1.632123 ,1.633150 ,1.640810 ,1.642176 ,1.650998 ,1.667281 ,36.3 ,36.0 ,36.26 ,35.99 ,0.01710 ,0.017099 ,0.017339 ,0.012426 ,0.005500 ,0.005017 ,0.009064 ,0.022135 ,0.010053 ,0.008822 ,0.025105 ,0.013213 ,0.008277 ,0.009062 ,0.034131 ,0.7267 ,0.3217 ,0.2934 ,0.5301 ,1.2945 ,0.5879 ,0.5159 ,1.4682 ,0.7620 ,0.4774 ,0.5226 ,1.9685 ,0.0099 ,0.0019 ,0.0051 ,0.0051 ,0.0468 ,1.42193846E+00,1.33827968E-01,1.45060574E+00,1.07291511E-02,5.72587546E-02,1.45381805E+02,,,,,,,390 ,,355 ,385 ,359 ,0.00 ,1.20 ,1.19 ,,,,,,,,,0.080 ,0.440 ,0.730 ,0.870 ,0.942 ,0.978 ,0.987 ,0.990 ,0.992 ,0.994 ,0.997 ,0.997 ,0.996 ,0.997 ,0.999 ,0.999 ,0.999 ,0.999 ,0.995 ,0.995 ,0.984 ,0.971 ,0.930 ,0.914 ,1.7 ,1.8 ,1.8 ,1.9 ,1.9 ,2.0 ,2.3 ,2.3 ,2.4 ,2.5 ,2.6 ,2.7 ,2.3 ,2.4 ,2.5 ,2.6 ,2.6 ,2.7 ,2.5 ,2.6 ,2.7 ,2.8 ,2.9 ,3.0 ,2.8 ,2.9 ,3.0 ,3.1 ,3.2 ,3.4 ,3.4 ,3.6 ,3.7 ,3.9 ,4.1 ,4.2 ,4.2 ,4.4 ,4.6 ,4.8 ,5.0 ,5.2 ,1.62E-07,1.19E-08,-3.50E-11,6.49E-07,8.60E-10,2.91E-01,551 ,576 ,598 ,634 ,703 ,81 ,95 ,1.394 ,776 ,315 ,0.230 ,550 ,6 ,150 ,2.86 ,1 ,1 ,2 ,,1.0 ,1.0 ,,2.69 
