E-LAF05	762401	767398	3.02046444E+00	-1.21632364E-02	2.80238460E-02	8.61441681E-04	-1.40486471E-05	4.56130350E-06
E-LAF010	743493	747491	2.96201742E+00	-6.90787335E-03	2.95340678E-02	-1.39338248E-03	2.52317172E-04	-1.24543400E-05
E-LAF016	801350	806347	3.14158865E+00	-1.47653343E-02	3.34231042E-02	1.25430167E-03	-3.49277287E-05	8.75894350E-06
LASF01	786442	790439	3.10625626E+00	-1.30242032E-02	3.00056853E-02	-2.79459588E-04	1.47953845E-04	-6.92451309E-06
LASF02	800422	804420	3.15611691E+00	-1.72799726E-02	2.73336859E-02	1.19991815E-03	-6.25674387E-05	5.65571879E-06
LASF010	834373	839371	3.16245133E+00	4.62981074E-02	9.62156806E-02	-1.80710694E-02	2.85651681E-03	-1.61650610E-04
LASFH6	806333	812330	3.16745137E+00	-2.22054670E-02	2.63024838E-02	4.02885558E-03	-4.01877549E-04	2.82196681E-05
E-LASF03	806409	811407	3.19737166E+00	-3.20236260E-02	1.67812195E-02	4.29709196E-03	-4.39299261E-04	2.40669567E-05
E-LASF05	835427	839425	3.27555498E+00	-1.49587295E-02	3.10927229E-02	6.82586922E-04	9.41310743E-06	1.50458530E-06
E-LASF010	834372	839369	3.26060903E+00	-1.48581563E-02	3.40319193E-02	1.14204288E-03	-1.89155362E-05	5.34279856E-06
E-LASF013	804396	809393	3.16454973E+00	-1.46684282E-02	3.03867870E-02	1.02933823E-03	-2.54435589E-05	4.67271608E-06
E-LASF014	788474	792471	3.12215038E+00	-1.47958367E-02	2.60452483E-02	5.07811768E-04	5.71446833E-06	8.82357872E-07
E-LASF015	804466	808463	3.17656194E+00	-1.53426611E-02	2.68472584E-02	6.45031930E-04	-5.17397170E-06	1.39108120E-06
E-LASF016	772496	776494	3.07241378E+00	-1.46849804E-02	2.44285857E-02	3.98183255E-04	1.22802438E-05	1.23709929E-07
E-LASF017	795453	799450	3.14429212E+00	-1.56560059E-02	2.63644950E-02	8.79416097E-04	-3.51678468E-05	3.33709709E-06
E-LASFH2	767468	771466	3.04964021E+00	-1.43753567E-02	2.47919447E-02	6.38849518E-04	-1.05068423E-05	1.83387657E-06
