BAM 5   ,607492, 2.53370300E+00,-9.04170170E-03, 1.68518350E-02, 5.10054080E-04,-1.76512570E-05, 1.86654370E-06
BAM 8   ,624471, 2.58305200E+00,-9.80447670E-03, 1.79997960E-02, 6.25608280E-04,-3.03827710E-05, 3.06397650E-06
BAM 9   ,643479, 2.64469590E+00,-9.43970930E-03, 1.89050350E-02, 5.03960960E-04,-6.93258640E-06, 1.54745610E-06
BAM12   ,639449, 2.62858230E+00,-9.08587270E-03, 1.95519020E-02, 6.69892780E-04,-2.51015350E-05, 3.04777730E-06
BAM21   ,626392, 2.57945700E+00,-9.42255770E-03, 2.11959260E-02, 8.09434900E-04,-2.49221890E-05, 3.98612350E-06
BAM23   ,607403, 2.52221790E+00,-8.72702220E-03, 2.01772860E-02, 6.18394510E-04, 1.80639260E-07, 2.01595050E-06
BAM25   ,603423, 2.51348180E+00,-8.73963850E-03, 1.86819020E-02, 7.47089190E-04,-3.04759550E-05, 3.39903990E-06
BAH10   ,670473, 2.73045910E+00,-1.06338480E-02, 1.94275630E-02, 8.20987280E-04,-5.21045710E-05, 4.44753430E-06
BAH11   ,667483, 2.71756690E+00,-8.66623090E-03, 2.11628800E-02, 1.53076810E-04, 3.22730920E-05, 6.60226630E-08
BAH13   ,669450, 2.72290770E+00,-9.93698880E-03, 2.09237800E-02, 6.51366720E-04,-1.93882330E-05, 3.11195610E-06
BAH22   ,664358, 2.69282660E+00,-9.01413720E-03, 2.50589680E-02, 1.01405020E-03,-3.21646370E-05, 5.64314410E-06
BAH26   ,668419, 2.71371560E+00,-9.34814620E-03, 2.21907440E-02, 7.41549990E-04,-2.18722110E-05, 3.82101500E-06
BAH27   ,702412, 2.82315080E+00,-1.09085890E-02, 2.37489800E-02, 9.01646010E-04,-3.71317110E-05, 5.48189050E-06
BAH28   ,723380, 2.89170430E+00,-1.28480330E-02, 2.45053910E-02, 1.67411720E-03,-1.17616330E-04, 1.04690400E-05
BAH30   ,650394, 2.65438670E+00,-8.44782890E-03, 2.22757740E-02, 9.00081330E-04,-3.52918060E-05, 4.71031950E-06
S-BAH54 ,695422, 2.80277400E+00,-1.14414280E-02, 2.38302310E-02, 5.73226880E-04, 1.15160470E-05, 1.20658960E-06
BAH71   ,702401, 2.82191690E+00,-9.91829720E-03, 2.43938800E-02, 9.96518590E-04,-4.55219850E-05, 5.55128070E-06
BAH77   ,702412, 2.82229290E+00,-1.06366020E-02, 2.43652410E-02, 7.05911450E-04,-3.95069770E-06, 2.98656250E-06
BAH78   ,723380, 2.88843920E+00,-1.08826710E-02, 2.64186530E-02, 1.16784920E-03,-5.22458970E-05, 6.28815610E-06
S-LAL11 ,658573, 2.70374980E+00,-1.17418920E-02, 1.58996000E-02, 6.12653640E-04,-4.66768450E-05, 2.65449520E-06
S-LAL52 ,670573, 2.74187020E+00,-1.27191530E-02, 1.63069770E-02, 6.14142260E-04,-4.82426320E-05, 2.88758640E-06
S-LAL60 ,726536, 2.92233340E+00,-1.52689240E-02, 2.00707350E-02, 4.96905380E-04,-1.53262990E-05, 1.07723540E-06
LAM51   ,700481, 2.83067490E+00,-1.25419340E-02, 1.92817330E-02, 1.13639020E-03,-8.83841510E-05, 5.82286860E-06
LAM52   ,720437, 2.88808080E+00,-1.13304290E-02, 2.30613550E-02, 1.00448510E-03,-5.63020830E-05, 5.24846570E-06
S-LAH54 ,816444, 3.21269970E+00,-1.53513700E-02, 2.84403740E-02, 7.91801710E-04,-1.70327710E-05, 2.62190940E-06
S-LAH67 ,795453, 3.14396090E+00,-1.55417210E-02, 2.66481690E-02, 7.78131430E-04,-1.94622480E-05, 2.46685480E-06
LAH71   ,850323, 3.30341370E+00,-1.38687540E-02, 3.76252740E-02, 2.10676850E-03,-1.18210550E-04, 1.47813950E-05
S-LAH75 ,874353, 3.39721150E+00,-1.58255010E-02, 3.68189160E-02, 1.75964450E-03,-8.40416730E-05, 1.05228070E-05
S-YGH52 ,787500, 3.12244060E+00,-1.56000770E-02, 2.38322550E-02, 7.25639540E-04,-3.05637990E-05, 2.08834010E-06
SSL 2   ,529517, 2.30068610E+00,-9.88225750E-03, 1.38789590E-02, 1.63412770E-04, 1.43933310E-05,-9.33221180E-08
SSL 5   ,521526, 2.27932900E+00,-1.07329070E-02, 1.20013920E-02, 5.81411370E-04,-4.62059480E-05, 2.95576790E-06
BPM 4   ,613438, 2.54894920E+00,-1.29229110E-02, 1.84335880E-02, 6.74830640E-04,-2.88375790E-05, 3.05760300E-06
BPH35   ,645408, 2.64133780E+00,-1.29975130E-02, 2.12518900E-02, 7.41669050E-04,-1.98145080E-05, 3.06988790E-06
BPH40   ,677375, 2.73747700E+00,-1.31531250E-02, 2.38952730E-02, 1.10783020E-03,-4.88191800E-05, 5.47739720E-06
BPH45   ,719335, 2.86190650E+00,-1.24256170E-02, 2.98891700E-02, 1.03706910E-03, 1.60156920E-06, 4.45952120E-06
BPH50   ,740317, 2.92714590E+00,-1.19701570E-02, 3.19225380E-02, 1.54575370E-03,-6.35073090E-05, 9.68351390E-06
FTL 8   ,511510, 2.24986630E+00,-1.00099690E-02, 1.06862690E-02, 9.85105930E-04,-1.01386670E-04, 7.04465430E-06
FTL10   ,501564, 2.22232450E+00,-8.57605320E-03, 1.09676980E-02, 4.16936620E-04,-2.74634110E-05, 2.17025300E-06
FTM 8   ,533459, 2.30633890E+00,-9.29943400E-03, 1.41485410E-02, 6.19449480E-04,-3.54213400E-05, 4.35609880E-06
